TABLE_NAME,COLUMN_NAME,TYPE_NAME,LENGTH
v_budget,budget_type,smallint,2
v_budget,budget_year,smallint,2
v_budget,account_axis_type,smallint,2
v_budget,jan_amt,numeric,20
v_budget,feb_amt,numeric,20
v_budget,mar_amt,numeric,20
v_budget,apr_amt,numeric,20
v_budget,may_amt,numeric,20
v_budget,jun_amt,numeric,20
v_budget,jul_amt,numeric,20
v_budget,aug_amt,numeric,20
v_budget,sep_amt,numeric,20
v_budget,oct_amt,numeric,20
v_budget,nov_amt,numeric,20
v_budget,dec_amt,numeric,20
v_budget,db_modified_tms,timestamp,8
v_budget,db_created_tms,timestamp,8
v_budget,abm_id,varchar,17
v_budget,company_id,int,4
v_budget,class_id,int,4
v_budget,customer_id,int,4
v_budget,fiscal_year_first_month,int,4
v_cf_custom_field,abm_id,varchar,32
v_cf_custom_field,position,int,4
v_cf_custom_field,field,varchar,31
v_cf_customer,id,varchar,32
v_cf_customer,position,int,4
v_cf_customer,name,varchar,32
v_cf_customer,data_type,smallint,2
v_cf_customer,field,varchar,31
v_cf_employee,id,varchar,32
v_cf_employee,position,int,4
v_cf_employee,name,varchar,32
v_cf_employee,data_type,smallint,2
v_cf_employee,field,varchar,31
v_cf_item,id,varchar,32
v_cf_item,position,int,4
v_cf_item,name,varchar,32
v_cf_item,data_type,smallint,2
v_cf_item,field,varchar,31
v_cf_name,id,varchar,32
v_cf_name,position,int,4
v_cf_name,name,varchar,32
v_cf_name,data_type,smallint,2
v_cf_name,field,varchar,31
v_cf_vendor,id,varchar,32
v_cf_vendor,position,int,4
v_cf_vendor,name,varchar,32
v_cf_vendor,data_type,smallint,2
v_cf_vendor,field,varchar,31
v_item_cf_attributes,position,int,4
v_item_cf_attributes,name,varchar,32
v_item_cf_attributes,data_type,smallint,2
v_lookup_txn_type,id,int,4
v_lookup_txn_type,name,varchar,32
v_lookup_txn_type,description,varchar,256
v_lst_account,id,int,4
v_lst_account,account_num,varchar,8
v_lst_account,bank_number,char,10
v_lst_account,currency_id,int,4
v_lst_account,db_created_tms,timestamp,8
v_lst_account,db_modified_tms,timestamp,8
v_lst_account,description,varchar,201
v_lst_account,is_hidden,bit,1
v_lst_account,is_online,bit,1
